ID,Matches played,Name,Highlander games,6's games,Defaults,Country
104481,117,Fire,68,15,0,UnitedKingdom
9727,117,Mokki,6,83,0,Finland
46606,117,GunroX,28,51,2,Ukraine
98304,116,chris,5,98,0,Ireland
104328,116,WML,36,47,2,England
1121,116,Anderson,4,89,0,Wales
3206,116,Black_Bob,41,49,0,UnitedKingdom
1395,116,Shabbaman,12,86,0,Netherlands
107432,116,habeef,32,66,0,Denmark
125630,116,Wylenn,20,89,0,International (Locked)
128942,116,TK_,51,54,2,Finland
5832,116,Salmon,13,76,0,Finland
100703,116,daga,34,74,1,Hungary
64547,116,pablo,41,63,2,Israel
120907,116,Wheatley,8,105,0,UnitedKingdom
61740,116,Concrete,28,68,2,Portugal
62123,116,Toba,44,43,0,Finland
2873,115,Wux,2,90,0,Scotland
617,115,pala4,33,36,1,Russia
89785,115,Samski,18,80,0,UnitedKingdom
94877,115,GibZ',62,34,3,Netherlands
658,115,Ortin,0,94,0,UnitedKingdom
62742,115,Aubriac,10,87,1,Netherlands
51452,115,Konna,30,68,0,Finland
24750,115,Issun,27,56,0,Norway
6102,115,Sonny Black,12,72,0,Germany
62741,115,sheff,25,70,0,Estonia
91914,115,TOSS,37,56,0,Russia
76416,114,Spirit,23,72,1,Sweden
121368,114,nagle,31,65,1,UnitedKingdom
95277,114,HexeLL,41,60,0,Poland
72145,114,Pandahh,11,93,1,UnitedKingdom
1734,114,GeaR,0,92,2,Germany
119766,114,zejiM,41,52,0,Hungary
68181,114,scrab,0,105,1,UnitedKingdom
4746,114,kustom3,22,70,0,France
574,114,ryb,0,94,0,Sweden
115547,114,csiga,19,76,0,Hungary
11228,114,lamei,19,65,0,Poland
106488,114,water123,10,99,0,Finland
118721,114,Shuffles_,34,77,0,UnitedKingdom
100762,113,BreD,20,79,1,England
51862,113,Jedi(fla)master,73,30,3,Poland
9036,113,Hidan,13,77,0,France
1837,113,Snyyppis,3,78,0,Finland
47566,113,profix,5,97,1,Switzerland
68351,113,AEsirson,52,51,0,Germany
74963,113,Dandere,48,52,0,England
32055,113,Alfie,13,84,0,England
50219,112,&gt;MF&lt;,35,54,0,Netherlands
89005,112,voxtec,4,102,0,Germany
125272,112,kcr,32,67,2,Poland
51315,112,Wiethoofd,21,65,0,Netherlands
13623,112,Raven,9,57,0,Russia
95079,112,Swallow,49,41,0,Germany
8686,112,DeGuN,27,54,0,France
5789,112,Chux,11,42,0,Croatia
124900,112,sy S,61,35,1,Norway
